,Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
258,KNHF11,Indefinido,5092443.43,80.0,0.010700000000000001,-0.038900000000000004,1910360224.25,39658
259,KNHY11,Papéis,5276231.9,98.0,0.0104,0.001,2808080278.75,27574
260,KNIP11,Papéis,10544708.67,95.0,0.01,-0.0027,7440193244.32,75898
261,KNOX11,Indefinido,373252.14,0.0,0.024700000000000003,-0.0353,0.0,0
262,KNPR11,Indefinido,0.0,0.0,0.0,0.0,50714254.34,593
263,KNRE11,Fundo de Desenvolvimento,1512.1,29.0,0.1252,-0.44,15191421.28,6287
264,KNRI11,Misto,6875304.14,82.0,0.0076,-0.0387,4553041797.28,287624
265,KNSC11,Papéis,8107590.43,92.0,0.009399999999999999,-0.0331,1787379056.94,184639
266,KNUQ11,Indefinido,4971772.86,94.0,0.0096,0.014499999999999999,1547793522.55,27806
267,KOPA11,Indefinido,631983.57,80.0,0.0138,0.0014000000000000002,353428275.02,3796
268,KORE11,Lajes Corporativas,3400141.95,71.0,0.0151,-0.0817,1020500511.51,20192
269,LASC11,Shoppings,1525343.52,86.0,0.0060999999999999995,-0.021099999999999997,370415268.35,401
270,LAVF11,Indefinido,0.0,0.0,0.0,0.0,118155565.38,8102
271,LFTT11,Papéis,9696.67,39.0,0.0977,-0.09390000000000001,65609766.66,586
272,LGCP11,Imóveis Industriais e Logísticos,163106.04,64.0,0.0109,-0.057999999999999996,457171677.92,19183
273,LIFE11,Imóveis Comerciais - Outros,1112639.33,84.0,0.0141,-0.0304,341603348.2,13038
274,LLAO11,Misto,551253.0,106.0,0.021099999999999997,0.0,22096064.44,77
275,LOFT11B,Fundo de Desenvolvimento,0.0,744.0,0.0,0.0,7892664.0,1
276,LPLP11,Indefinido,50000.0,131.0,0.0063,-0.0911,146954781.11,8
277,LSAG11,Misto,83700.29,0.0,0.0137,-0.006500000000000001,0.0,0
278,LSPA11,Papéis,8983.43,115.0,0.8684000000000001,0.0,8415548.38,707
279,LTMT11,Imóveis Residenciais,67457.0,90.0,0.08800000000000001,0.0,10065415.24,114
280,LUGG11,Fundo de Desenvolvimento,23956.0,55.0,0.0087,-0.0341,132968746.75,7962
281,LVBI11,Imóveis Industriais e Logísticos,3602682.9,76.0,0.0086,-0.053399999999999996,2007145260.48,135970
282,MALL11,Shoppings,2982758.57,79.0,0.008100000000000001,-0.05,1547401137.92,133118
283,MANA11,Indefinido,1299144.14,81.0,0.0131,-0.0059,349483377.61,15877
284,MATV11,Indefinido,13027.43,136.0,0.0073,-0.0141,118155565.38,8102
285,MAXR11,Varejo,37520.81,51.0,0.09539999999999998,0.0336,136658484.24,4287
286,MBRF11,Lajes Corporativas,0.0,0.0,0.0,0.0,0.0,0
287,MCCI11,Papéis,2541067.1,82.0,0.0104,-0.0679,1559079404.84,109380
288,MCEM11,Shoppings,1908.45,182.0,0.0252,0.0,86527205.94,107
289,MCHF11,Papéis,1778820.09,14.0,0.0,0.0,118155565.38,8102
290,MCHY11,Papéis,4789731.61,77.0,0.012199999999999999,-0.0204,1068543906.54,97406
291,MFAI11,Fundo de Fundos,11326.82,97.0,0.48840000000000006,0.026600000000000002,27988600.04,2301
292,MFII11,Fundo de Desenvolvimento,1220388.05,77.0,0.0123,-0.041299999999999996,560732542.69,32803
293,MGCR11,Papéis,259145.59,15.0,0.0,0.0,118155565.38,8102
294,MGFF11,Fundo de Fundos,2558695.75,110.0,0.0,0.0,118155565.38,8102
295,MGHT11,Hotéis,40863.52,25.0,0.0042,-0.1442,67412093.84,5390
296,MGLG11,Imóveis Industriais e Logísticos,55314.19,55.0,0.0086,-0.036000000000000004,116088485.68,3712
297,MGRI11,Indefinido,0.0,64.0,0.024399999999999998,-0.024300000000000002,22312376.05,1
298,MINT11,Educacional,2067.81,93.0,0.152,-0.058499999999999996,54242905.67,95
299,MMPD11,Indefinido,0.0,0.0,0.0,0.0,60292576.67,103
300,MORC11,Papéis,1741368.33,141.0,0.0,0.0,118155565.38,8102
301,MORE11,Fundo de Fundos,1327577.67,119.0,0.0,0.0,118155565.38,8102
302,MXRF11,Papéis,16960721.1,95.0,0.010700000000000001,-0.025099999999999997,4164747044.54,1220123
303,NAVT11,Papéis,201587.0,72.0,0.0118,-0.1875,50574083.34,3095
304,NCHB11,Papéis,204873.57,76.0,0.0116,-0.0676,150725854.33,11885
305,NCRA11,Indefinido,58054.05,68.0,0.0123,-0.0073,47120401.29,8912
306,NCRI11,Papéis,4046.76,80.0,0.0124,-0.09820000000000001,39284009.21,969
307,NELO11,Logística,0.0,0.0,0.0,0.0,658444664.96,2
308,NEWL11,Imóveis Industriais e Logísticos,581865.14,75.0,0.009000000000000001,0.031400000000000004,368680528.91,8182
309,NEWU11,Lajes Corporativas,27519.81,110.0,0.0009,0.0273,53278459.45,1214
310,NEXG11,Agricultura,54411.29,130.0,0.004699999999999999,0.096,16080689.37,555
311,NSLU11,Hospitalar,99045.76,76.0,0.009899999999999999,-0.0388,266173149.49,5716
312,NUIF11,Indefinido,67107.19,0.0,0.0106,-0.06,0.0,0
313,NVHO11,Hospitalar,2505.62,79.0,0.0068000000000000005,0.0233,634137351.05,1976
314,NVIF11B,Fundo de Desenvolvimento,0.0,88.0,0.0,0.0,87664891.06,7
315,NVRP11,Indefinido,2603.18,0.0,0.5178,0.0,0.0,0
316,OBAL11,Imóveis Residenciais,106664.0,87.0,0.0,0.0,161074431.61,108
317,OCRE11,Papéis,6518.23,100.0,0.0106,-0.0437,40747068.53,498
318,OGHY11,Indefinido,22847.1,14.0,0.0,0.0,118155565.38,8102
319,OGIN11,Misto,167433.43,0.0,0.0131,-0.009000000000000001,0.0,0
320,OIAG11,Indefinido,158310.48,70.0,0.013500000000000002,-0.0463,89708023.64,13328
321,ONEF11,Lajes Corporativas,114431.47,313.0,0.0,0.0,118155565.38,8102
322,OPTM11,Misto,0.0,0.0,0.0,0.0,4349929.74,63
323,ORPD11,Fundo de Desenvolvimento,40275.0,65.0,0.0,0.0,41503074.24,6
324,OUFF11,Fundo de Fundos,264340.11,96.0,0.0125,-0.0144,118155565.38,8102
325,OUJP11,Papéis,486050.43,72.0,0.0115,0.0006,321775529.27,26555
326,OULG11,Imóveis Industriais e Logísticos,54041.86,49.0,0.009300000000000001,0.0196,159170430.61,4084
327,OURE11,Misto,224923.68,123.0,0.0139,0.0384,118155565.38,8102
328,PABY11,Fundo de Desenvolvimento,51010.0,23.0,0.0,0.0,-19683086.56,567
329,PATA11,Misto,9144.48,103.0,0.0102,0.0116,17042846.93,190
330,PATB11,Lajes Corporativas,0.0,0.0,0.0,0.0,781578576.15,1
331,PATC11,Fundo de Desenvolvimento,406973.0,87.0,0.0043,0.0275,143175032.03,6847
332,PATL11,Imóveis Industriais e Logísticos,535565.14,44.0,0.0121,-0.10039999999999999,491918033.25,25578
333,PCAS11,Indefinido,0.0,0.0,0.0,0.0,336378382.84,100
334,PEMA11,Papéis,25705.0,45.0,0.028900000000000002,0.011000000000000001,36904926.26,318
335,PFIN11,Indefinido,1277101.33,0.0,0.0197,-0.1054,0.0,0
336,PICE11,Indefinido,252131.29,0.0,0.0066,-0.12210000000000001,0.0,0
337,PLCA11,Indefinido,89508.52,69.0,0.013300000000000001,-0.0397,52615866.48,2688
338,PLCR11,Papéis,247435.19,78.0,0.0104,-0.0512,190729122.23,15746
339,PLOG11,Imóveis Industriais e Logísticos,70165.04,63.0,0.009899999999999999,0.020099999999999996,79648071.76,3284
340,PLRI11,Papéis,2341.48,52.0,0.0015,0.7148,18457322.24,676
341,PMFO11,Misto,5288.57,102.0,0.009399999999999999,-0.009300000000000001,69310490.18,174
342,PMIS11,Misto,286338.38,74.0,0.0118,-0.0725,137178529.89,8047
343,PNCR11,Imóveis Residenciais,6474.0,101.0,0.0124,0.0,29646109.93,110
344,PNDL11,Fundo de Desenvolvimento,11423.24,111.0,0.0,0.0,155192821.07,61
345,PNPR11,Fundo de Desenvolvimento,13424.62,78.0,0.2523,0.0,65318285.21,26
346,PNRC11,Indefinido,10500.0,104.0,0.0087,-0.0077,40279492.17,105
347,PORD11,Papéis,622458.52,77.0,0.011000000000000001,0.01,352420214.65,37736
348,PPEI11,Indefinido,299955.19,0.0,0.0418,0.0965,0.0,0
349,PQAG11,Imóveis Industriais e Logísticos,2165.52,96.0,0.0079,0.0070999999999999995,804441008.45,479
350,PQDP11,Shoppings,562075.43,59.0,0.009399999999999999,0.002,347795591.34,3598
351,PRSV11,Lajes Corporativas,3941.67,35.0,0.0362,0.0209,34016423.07,863
352,PRTS11,Shoppings,0.0,184.0,0.0,0.0,118155565.38,8102
353,PULV11,Papéis,15646.33,91.0,0.0098,-0.0051,116978194.92,723
354,PVBI11,Lajes Corporativas,5508783.9,69.0,0.0074,-0.0639,2847459867.37,165266
355,QAGR11,Indefinido,534044.14,71.0,0.01,-0.0059,304952482.94,18596
356,QAMI11,Papéis,12765.52,133.0,0.011699999999999999,0.0669,118155565.38,8102
357,QIRI11,Papéis,6867.57,122.0,0.0,0.0,118155565.38,8102
358,QNTS11,Indefinido,0.0,0.0,0.0,0.0,167778965.45,135
359,RBCO11,Lajes Corporativas,0.0,0.0,0.0,0.0,0.0,0
360,RBDS11,Fundo de Desenvolvimento,21314.0,16.0,0.1121,-0.512,2353945.12,898
361,RBED11,Educacional,1398204.71,68.0,0.008199999999999999,-0.1175,320910949.76,12277
362,RBFF11,Fundo de Fundos,728443.05,74.0,0.009899999999999999,-0.019799999999999998,230251676.34,24098
363,RBGS11,Shoppings,0.0,45.0,0.0062,-0.019,118155565.38,8102
364,RBHG11,Papéis,403892.71,80.0,0.0109,-0.0187,188619418.88,10574
365,RBHY11,Papéis,277976.1,85.0,0.0121,-0.0275,176037060.64,3465
366,RBIF11,Indefinido,413680.86,0.0,0.0115,-0.1198,0.0,0
367,RBIR11,Fundo de Desenvolvimento,142410.95,79.0,0.024,-0.006,150490696.26,1550
368,RBLG11,Imóveis Industriais e Logísticos,31152.0,84.0,0.0118,0.0335,45944144.1,265
369,RBOP11,Lajes Corporativas,34114.24,38.0,0.0097,-0.004,76636584.05,3520
370,RBRD11,Varejo,39148.1,53.0,0.010700000000000001,-0.0601,118317625.4,7952
371,RBRF11,Fundo de Fundos,2512176.86,70.0,0.0161,-0.0705,1169611226.35,128386
372,RBRI11,Fundo de Desenvolvimento,2696.76,93.0,0.0513,0.0,150061900.13,100
373,RBRL11,Imóveis Industriais e Logísticos,571770.95,62.0,0.0113,-0.0582,686667736.75,14314
374,RBRM11,Fundo de Desenvolvimento,0.0,1788.0,0.0,0.0,2860101.93,54
375,RBRP11,Lajes Corporativas,1383194.67,64.0,0.010700000000000001,-0.0509,933998417.18,77359
376,RBRR11,Papéis,3507562.67,87.0,0.01,-0.0338,1394603397.8,132467
377,RBRS11,Fundo de Desenvolvimento,27699.52,42.0,0.0014000000000000002,-0.0472,158624726.34,1107
378,RBRX11,Indefinido,579789.95,75.0,0.0098,-0.0025,282406026.36,14370
379,RBRY11,Papéis,3476706.38,81.0,0.0118,-0.1388,1242207588.82,62799
380,RBTS11,Fundo de Desenvolvimento,1404.67,111.0,0.16670000000000001,0.005,27865930.87,140
381,RBVA11,Varejo,2023231.81,76.0,0.0096,-0.045,1337504190.47,64498
382,RBVO11,Papéis,17439.95,95.0,0.0004,0.5011,2882596.37,6943
383,RCFF11,Fundo de Fundos,1105.0,68.0,0.21109999999999998,0.325,33551625.87,79
384,RCRB11,Lajes Corporativas,711047.14,55.0,0.0097,-0.1161,755786600.34,33752
385,RDCI11,Indefinido,0.0,0.0,0.0,0.0,222243229.33,114
386,RDPD11,Papéis,98337.21,106.0,0.0132,0.0736,24085452.18,3141
387,RECD11,Papéis,1449.05,100.0,0.015600000000000001,0.0,54599682.64,149
388,RECM11,Papéis,759133.16,93.0,0.0085,0.0,82962248.14,629
389,RECR11,Papéis,2598440.19,75.0,0.0132,-0.0713,2417604833.97,169338
390,RECT11,Lajes Corporativas,317371.0,29.0,0.0129,-0.0541,785758858.22,55805
391,RECX11,Fundo de Fundos,2656.22,94.0,0.1819,0.0,15823826.78,577
392,REIT11,Papéis,474.0,32.0,0.023399999999999997,0.0,7475126.43,67
393,RELG11,Imóveis Industriais e Logísticos,425801.1,44.0,0.014199999999999999,-0.0857,168966548.5,4405
394,RENV11,Serviços Financeiros Diversos,24951.67,103.0,0.0072,-0.021,9890399.22,473
395,RFOF11,Fundo de Fundos,244882.9,77.0,0.011200000000000002,-0.0679,74350149.86,4624
396,RIFF11,Indefinido,471141.14,0.0,0.0134,-0.18469999999999998,0.0,0
397,RINV11,Indefinido,449216.0,100.0,0.010700000000000001,-0.0451,195680579.68,3568
398,RMAI11,Lajes Corporativas,31320.19,73.0,0.0064,-0.0144,248727410.4,1091
399,RNDP11,Papéis,4863.29,68.0,0.0159,0.008100000000000001,6692761.92,1252
400,RNGO11,Lajes Corporativas,72536.76,49.0,0.0086,-0.08560000000000001,224049824.72,8629
401,ROOF11,Fundo de Desenvolvimento,72700.0,142.0,0.0187,-0.0184,37691539.23,79
402,RPRI11,Papéis,448471.62,79.0,0.011000000000000001,0.0007000000000000001,343329932.72,4391
403,RRCI11,Papéis,49137.48,68.0,0.0124,-0.0426,43659920.09,2011
404,RSPD11,Fundo de Desenvolvimento,23571.0,88.0,0.019,0.0,160660370.22,140
405,RURA11,Misto,3103536.86,0.0,0.0078000000000000005,0.0596,0.0,0
406,RVBI11,Fundo de Fundos,1892568.81,80.0,0.0124,-0.11199999999999999,790903830.21,47725
407,RZAG11,Indefinido,1584112.29,76.0,0.0139,-0.0446,653057767.4,82939
408,RZAK11,Papéis,1935058.33,83.0,0.0137,0.016399999999999998,776375573.85,50385
409,RZAT11,Imóveis Industriais e Logísticos,972576.71,82.0,0.011399999999999999,-0.1084,426954950.94,38348
410,RZEO11,Indefinido,3462.0,105.0,0.0196,0.0,716954546.81,152
411,RZLC11,Papéis,1972560.81,101.0,0.0087,0.0087,49598116.55,1
412,RZTR11,Misto,4814291.43,85.0,0.0131,0.0232,1843152511.64,130863
413,RZZR11,Imóveis Industriais e Logísticos,7571.76,88.0,0.008199999999999999,-0.0541,800422005.14,437
414,SADI11,Papéis,214654.62,88.0,0.0102,-0.0319,147370575.7,10706
415,SAPI11,Misto,349393.0,73.0,0.011000000000000001,-0.0596,150942113.82,2690
416,SARE11,Misto,621193.0,47.0,0.005600000000000001,-0.0955,717002955.07,33713
417,SCPF11,Shoppings,97743.0,17.0,0.0106,-0.08990000000000001,49910530.05,4710
418,SDIL11,Imóveis Industriais e Logísticos,1030917.86,101.0,0.0076,0.0204,612048658.06,63292
419,SEED11,Indefinido,4761.9,112.0,0.011000000000000001,0.0167,146942307.63,130
420,SEQR11,Misto,106866.95,50.0,0.0118,-0.0116,154103734.31,5200
421,SHOP11,Shoppings,283732.0,158.0,0.0,0.0,67286308.34,67
422,SHPH11,Shoppings,157786.29,92.0,0.0049,-0.057999999999999996,562234639.03,2271
423,SHSO11,Indefinido,0.0,0.0,0.0,0.0,118155565.38,8102
424,SIGR11,Indefinido,5238.0,100.0,0.0,0.0,68014346.05,183
425,SJAU11,Imóveis Industriais e Logísticos,63357.0,85.0,0.0,0.0,498353891.68,213
426,SMRE11,Incorporações,349529.95,91.0,0.0103,-0.0285,98551642.01,2
427,SNAG11,Papéis,1305548.24,95.0,0.0,0.0,581007295.4,108684
428,SNCI11,Papéis,621481.76,83.0,0.0,0.0,411830896.74,40957
429,SNEL11,Fundo de Desenvolvimento,655952.14,125.0,0.011200000000000002,0.0325,132425356.73,20206
430,SNFF11,Fundo de Fundos,367017.81,93.0,0.0,0.0,277346708.73,30176
431,SNFZ11,Misto,20545.71,100.0,0.0,0.0,61291402.16,3217
432,SNID11,Indefinido,156980.33,0.0,0.01,-0.0158,0.0,0
433,SNLG11,Imóveis Industriais e Logísticos,94396.33,87.0,0.0123,-0.0208,65477185.63,3730
434,SNME11,Indefinido,36814.19,105.0,0.0105,0.0011,68839305.84,3440
435,SOLR11,Imóveis Comerciais - Outros,4931882.0,114.0,0.0,0.0,59685145.8,55
436,SPDE11,Indefinido,65152.63,113.0,0.0254,-0.05,93005009.23,120
437,SPMO11,Indefinido,335334.0,108.0,0.0,0.0,242005677.81,14
438,SPTW11,Lajes Corporativas,107498.71,55.0,0.011699999999999999,-0.0083,103437106.43,21510
439,SPVJ11,Shoppings,0.0,0.0,0.0,0.0,199249735.04,26
440,SPXS11,Indefinido,370315.14,85.0,0.0118,-0.0535,191003505.75,19551
441,SRVD11,Indefinido,23391.0,556.0,0.0229,-0.09789999999999999,52368152.77,106
442,STRX11,Fundo de Desenvolvimento,1120.0,108.0,0.004699999999999999,-0.0096,237267604.76,109
443,TCPF11,Misto,0.0,36.0,0.0,0.0,32330336.18,52
444,TELM11,Indefinido,208354.17,99.0,0.006999999999999999,0.0,21592731.31,103
445,TEPP11,Lajes Corporativas,670392.95,75.0,0.009399999999999999,-0.0484,411190815.55,29721
446,TGAR11,Fundo de Desenvolvimento,7454778.62,79.0,0.011899999999999999,-0.045700000000000005,2618628834.13,170260
447,TJKB11,Indefinido,12556.86,101.0,0.0118,-0.062,263604018.71,177
448,TMPS11,Fundo de Fundos,328451.71,86.0,0.0199,-0.029300000000000003,89845053.52,1994
449,TOPP11,Imóveis Comerciais - Outros,1079008.0,76.0,0.0121,-0.1616,444509021.87,5086
450,TORD11,Misto,44540.05,13.0,0.009000000000000001,-0.24530000000000002,235453506.45,74959
451,TRBL11,Imóveis Industriais e Logísticos,1210916.0,60.0,0.0088,-0.0116,770875560.98,56218
452,TRNT11,Lajes Corporativas,34630.1,70.0,0.0006,0.0,682291776.73,576
453,TRXB11,Fundo de Desenvolvimento,144435.62,113.0,0.0382,-0.0087,400037886.25,349
454,TRXF11,Imóveis Comerciais - Outros,6262468.38,93.0,0.0091,0.0103,2094805620.61,184460
455,TSER11,Lajes Corporativas,57143.0,100.0,0.0098,0.028399999999999998,136486087.34,20
456,TVRI11,Agências de Bancos,1412018.05,84.0,0.0109,-0.0506,1614021771.69,68471
457,URHF11,Outros,2484.71,100.0,0.012,-0.115,10752120.84,158
458,URPR11,Papéis,2125240.1,52.0,0.0144,-0.10289999999999999,1184327903.44,79123
459,VANG11,Indefinido,46826.48,0.0,0.009899999999999999,-0.0098,0.0,0
460,VCJR11,Papéis,2947418.62,75.0,0.0111,-0.0216,1392110627.49,34010
461,VCRA11,Indefinido,1090643.1,58.0,0.0131,-0.0113,477371673.61,11417
462,VCRI11,Papéis,166663.48,72.0,0.0116,-0.053,168263291.93,10964
463,VCRR11,Imóveis Residenciais,203846.43,45.0,0.0096,-0.06570000000000001,260980601.07,4204
464,VGHF11,Misto,3827146.19,80.0,0.0116,0.0052,1459392047.53,406957
465,VGIA11,Indefinido,1729246.43,81.0,0.014199999999999999,-0.0688,804393262.42,172151
466,VGII11,Tecidos. Vestuário e Calçados,0.0,93.0,0.030299999999999997,0.0,50235369.53,5
467,VGIP11,Papéis,2245867.0,80.0,0.0113,-0.0867,1065985547.77,88359
468,VGIR11,Papéis,5925146.67,91.0,0.0126,-0.07919999999999999,1422405908.98,261193
469,VGRI11,Misto,507765.14,74.0,0.0183,-0.061799999999999994,342639869.09,4607
470,VIDS11,Fundo de Desenvolvimento,0.0,100.0,0.0,0.0,83427016.37,199
471,VIFI11,Fundo de Fundos,218328.33,76.0,0.009899999999999999,-0.0329,66405125.72,5778
472,VIGT11,Indefinido,1396106.57,0.0,0.0278,-0.1241,0.0,0
473,VILG11,Imóveis Industriais e Logísticos,2171482.38,64.0,0.008,-0.042699999999999995,1701890060.03,156058
474,VINO11,Lajes Corporativas,763038.67,42.0,0.0101,-0.019799999999999998,888711448.21,153106
475,VISC11,Shoppings,6521371.76,73.0,0.0083,-0.0753,3637559318.14,349377
476,VIUR11,Misto,210608.76,61.0,0.011399999999999999,0.037000000000000005,239805255.17,48461
477,VJFD11,Papéis,3720.48,100.0,0.0048,0.0,753752856.68,96
478,VLIQ11,Indefinido,0.0,0.0,0.0,0.0,118155565.38,8102
479,VLOL11,Lajes Corporativas,160238.13,154.0,0.0,0.0,118155565.38,8102
480,VOTS11,Papéis,2832.14,73.0,0.0096,0.013300000000000001,77350822.98,663
481,VRTA11,Papéis,1945328.38,81.0,0.009899999999999999,-0.023,1382915361.99,119224
482,VRTM11,Misto,394345.19,71.0,0.0125,-0.0601,439683074.94,12245
483,VSEC11,Papéis,250.0,0.0,0.0,0.0,118155565.38,8102
484,VSHO11,Shoppings,73592.48,62.0,0.0102,-0.0191,217450790.43,3556
485,VSLH11,Papéis,171982.33,27.0,0.0121,-0.0294,331165442.19,77618
486,VTLT11,Imóveis Industriais e Logísticos,130424.67,72.0,0.0103,-0.023399999999999997,238772468.54,6089
487,VTPL11,Papéis,1273.17,100.0,0.0,0.0,99661107.98,124
488,VVCO11,Lajes Corporativas,207451.43,96.0,0.0,0.0,141098708.5,3054
489,VVCR11,Papéis,160252.09,90.0,0.0097,-0.0043,78589242.29,2438
490,VVMR11,Lajes Corporativas,308162.24,80.0,0.0055000000000000005,0.01,316852348.31,720
491,VVPR11,Misto,1249061.55,159.0,0.0089,0.004,118155565.38,8102
492,VVRI11,Indefinido,182635.82,99.0,0.0074,-0.0105,79846007.28,167
493,VXXV11,Fundo de Desenvolvimento,1043476.23,108.0,0.0,0.0,182336837.77,19
494,WPLZ11,Shoppings,3022.62,59.0,0.0054,-0.063,96676265.86,1726
495,WSEC11,Indefinido,12794.43,76.0,0.012,-0.0425,22254203.31,531
496,WTSP11B,Misto,3852.0,45.0,0.0,0.0,98293009.04,210
497,XPCA11,Indefinido,1184070.95,63.0,0.0064,-0.0371,427605802.21,106459
498,XPCI11,Papéis,2012977.48,79.0,0.0104,-0.0179,775877731.3,74981
499,XPCM11,Lajes Corporativas,18106.19,26.0,0.002,-0.0154,66206640.79,19770
500,XPHT11,Hotéis,230869.59,66.0,0.0092,0.1586,582374006.2,1194
501,XPID11,Indefinido,331715.9,0.0,0.0118,-0.049800000000000004,0.0,0
502,XPIE11,Indefinido,2614499.57,0.0,0.016200000000000003,-0.1158,0.0,0
503,XPIN11,Imóveis Industriais e Logísticos,352032.67,63.0,0.0106,-0.035,753061293.75,46837
504,XPLG11,Imóveis Industriais e Logísticos,4575204.57,80.0,0.0083,-0.027999999999999997,3498312039.33,348915
505,XPML11,Shoppings,15964243.76,84.0,0.0089,-0.015,6480240151.23,555889
506,XPPR11,Lajes Corporativas,125029.1,22.0,0.0049,-0.0426,452861360.01,44739
507,XPSF11,Fundo de Fundos,536367.48,77.0,0.0108,-0.046900000000000004,330823221.4,63255
508,XTED11,Lajes Corporativas,17641.88,68.0,0.0,0.0,67378204.04,4098
509,YUFI11,Fundo de Desenvolvimento,1676.0,67.0,0.0018,-0.0011,51827010.75,58
510,YUFI11B,Indefinido,0.0,0.0,0.0,0.0,0.0,0
511,ZAGH11,Serviços Financeiros Diversos,1353.76,140.0,0.0054,0.006999999999999999,42783877.65,274
512,ZAVC11,Indefinido,277.0,103.0,0.0124,0.1656,31110512.89,138
513,ZAVI11,Indefinido,204552.71,64.0,0.0111,-0.0139,154014555.33,3923
514,ZIFI11,Fundo de Desenvolvimento,8794.81,38.0,0.0,0.0,84141677.27,99
