Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
KNCR11,Papéis,"15.265.434,81",96.0,"0,92 %","0,05 %","7.339.787.633,33",378.214
KNHF11,Indefinido,"5.092.443,43",80.0,"1,07 %","-3,89 %","1.910.360.224,25",39.658
KNHY11,Papéis,"5.276.231,90",98.0,"1,04 %","0,10 %","2.808.080.278,75",27.574
KNIP11,Papéis,"10.544.708,67",95.0,"1,00 %","-0,27 %","7.440.193.244,32",75.898
KNOX11,Indefinido,"373.252,14",,"2,47 %","-3,53 %",,0
KNPR11,Indefinido,,,"0,00 %","0,00 %","50.714.254,34",593
KNRE11,Fundo de Desenvolvimento,"1.512,10",29.0,"12,52 %","-44,00 %","15.191.421,28",6.287
KNRI11,Misto,"6.875.304,14",82.0,"0,76 %","-3,87 %","4.553.041.797,28",287.624
KNSC11,Papéis,"8.107.590,43",92.0,"0,94 %","-3,31 %","1.787.379.056,94",184.639
KNUQ11,Indefinido,"4.971.772,86",94.0,"0,96 %","1,45 %","1.547.793.522,55",27.806
KOPA11,Indefinido,"631.983,57",80.0,"1,38 %","0,14 %","353.428.275,02",3.796
KORE11,Lajes Corporativas,"3.400.141,95",71.0,"1,51 %","-8,17 %","1.020.500.511,51",20.192
LASC11,Shoppings,"1.525.343,52",86.0,"0,61 %","-2,11 %","370.415.268,35",401
LAVF11,Indefinido,,,"0,00 %","0,00 %","118.155.565,38",8.102
LFTT11,Papéis,"9.696,67",39.0,"9,77 %","-9,39 %","65.609.766,66",586
LGCP11,Imóveis Industriais e Logísticos,"163.106,04",64.0,"1,09 %","-5,80 %","457.171.677,92",19.183
LIFE11,Imóveis Comerciais - Outros,"1.112.639,33",84.0,"1,41 %","-3,04 %","341.603.348,20",13.038
LLAO11,Misto,"551.253,00",106.0,"2,11 %","0,00 %","22.096.064,44",77
LOFT11B,Fundo de Desenvolvimento,,744.0,"0,00 %","0,00 %","7.892.664,00",1
LPLP11,Indefinido,50000,131.0,"0,63 %","-9,11 %","146.954.781,11",8
LSAG11,Misto,"83.700,29",,"1,37 %","-0,65 %",,0
LSPA11,Papéis,"8.983,43",115.0,"86,84 %","0,00 %","8.415.548,38",707
LTMT11,Imóveis Residenciais,67457,90.0,"8,80 %","0,00 %","10.065.415,24",114
LUGG11,Fundo de Desenvolvimento,"23.956,00",55.0,"0,87 %","-3,41 %","132.968.746,75",7.962
LVBI11,Imóveis Industriais e Logísticos,"3.602.682,90",76.0,"0,86 %","-5,34 %","2.007.145.260,48",135.970
MALL11,Shoppings,"2.982.758,57",79.0,"0,81 %","-5,00 %","1.547.401.137,92",133.118
MANA11,Indefinido,"1.299.144,14",81.0,"1,31 %","-0,59 %","349.483.377,61",15.877
MATV11,Indefinido,"13.027,43",136.0,"0,73 %","-1,41 %","118.155.565,38",8.102
MAXR11,Varejo,"37.520,81",51.0,"9,54 %","3,36 %","136.658.484,24",4.287
MBRF11,Lajes Corporativas,,,"0,00 %","0,00 %",,0
MCCI11,Papéis,"2.541.067,10",82.0,"1,04 %","-6,79 %","1.559.079.404,84",109.380
MCEM11,Shoppings,"1.908,45",182.0,"2,52 %","0,00 %","86.527.205,94",107
MCHF11,Papéis,"1.778.820,09",14.0,"0,00 %","0,00 %","118.155.565,38",8.102
MCHY11,Papéis,"4.789.731,61",77.0,"1,22 %","-2,04 %","1.068.543.906,54",97.406
MFAI11,Fundo de Fundos,"11.326,82",97.0,"48,84 %","2,66 %","27.988.600,04",2.301
MFII11,Fundo de Desenvolvimento,"1.220.388,05",77.0,"1,23 %","-4,13 %","560.732.542,69",32.803
MGCR11,Papéis,"259.145,59",15.0,"0,00 %","0,00 %","118.155.565,38",8.102
MGFF11,Fundo de Fundos,"2.558.695,75",110.0,"0,00 %","0,00 %","118.155.565,38",8.102
MGHT11,Hotéis,"40.863,52",25.0,"0,42 %","-14,42 %","67.412.093,84",5.390
MGLG11,Imóveis Industriais e Logísticos,"55.314,19",55.0,"0,86 %","-3,60 %","116.088.485,68",3.712
MGRI11,Indefinido,,64.0,"2,44 %","-2,43 %","22.312.376,05",1
MINT11,Educacional,"2.067,81",93.0,"15,20 %","-5,85 %","54.242.905,67",95
MMPD11,Indefinido,,,"0,00 %","0,00 %","60.292.576,67",103
MORC11,Papéis,"1.741.368,33",141.0,"0,00 %","0,00 %","118.155.565,38",8.102
MORE11,Fundo de Fundos,"1.327.577,67",119.0,"0,00 %","0,00 %","118.155.565,38",8.102
MXRF11,Papéis,"16.960.721,10",95.0,"1,07 %","-2,51 %","4.164.747.044,54",1.220.123
NAVT11,Papéis,"201.587,00",72.0,"1,18 %","-18,75 %","50.574.083,34",3.095
NCHB11,Papéis,"204.873,57",76.0,"1,16 %","-6,76 %","150.725.854,33",11.885
NCRA11,Indefinido,"58.054,05",68.0,"1,23 %","-0,73 %","47.120.401,29",8.912
NCRI11,Papéis,"4.046,76",80.0,"1,24 %","-9,82 %","39.284.009,21",969
NELO11,Logística,,,"0,00 %","0,00 %","658.444.664,96",2
NEWL11,Imóveis Industriais e Logísticos,"581.865,14",75.0,"0,90 %","3,14 %","368.680.528,91",8.182
NEWU11,Lajes Corporativas,"27.519,81",110.0,"0,09 %","2,73 %","53.278.459,45",1.214
NEXG11,Agricultura,"54.411,29",130.0,"0,47 %","9,60 %","16.080.689,37",555
NSLU11,Hospitalar,"99.045,76",76.0,"0,99 %","-3,88 %","266.173.149,49",5.716
NUIF11,Indefinido,"67.107,19",,"1,06 %","-6,00 %",,0
NVHO11,Hospitalar,"2.505,62",79.0,"0,68 %","2,33 %","634.137.351,05",1.976
NVIF11B,Fundo de Desenvolvimento,,88.0,"0,00 %","0,00 %","87.664.891,06",7
NVRP11,Indefinido,"2.603,18",,"51,78 %","0,00 %",,0
OBAL11,Imóveis Residenciais,"106.664,00",87.0,"0,00 %","0,00 %","161.074.431,61",108
OCRE11,Papéis,"6.518,23",100.0,"1,06 %","-4,37 %","40.747.068,53",498
OGHY11,Indefinido,"22.847,10",14.0,"0,00 %","0,00 %","118.155.565,38",8.102
OGIN11,Misto,"167.433,43",,"1,31 %","-0,90 %",,0
OIAG11,Indefinido,"158.310,48",70.0,"1,35 %","-4,63 %","89.708.023,64",13.328
ONEF11,Lajes Corporativas,"114.431,47",313.0,"0,00 %","0,00 %","118.155.565,38",8.102
OPTM11,Misto,,,"0,00 %","0,00 %","4.349.929,74",63
ORPD11,Fundo de Desenvolvimento,40275,65.0,"0,00 %","0,00 %","41.503.074,24",6
OUFF11,Fundo de Fundos,"264.340,11",96.0,"1,25 %","-1,44 %","118.155.565,38",8.102
OUJP11,Papéis,"486.050,43",72.0,"1,15 %","0,06 %","321.775.529,27",26.555
OULG11,Imóveis Industriais e Logísticos,"54.041,86",49.0,"0,93 %","1,96 %","159.170.430,61",4.084
OURE11,Misto,"224.923,68",123.0,"1,39 %","3,84 %","118.155.565,38",8.102
PABY11,Fundo de Desenvolvimento,51010,23.0,,,"-19.683.086,56",567
PATA11,Misto,"9.144,48",103.0,"1,02 %","1,16 %","17.042.846,93",190
PATB11,Lajes Corporativas,,,"0,00 %","0,00 %","781.578.576,15",1
PATC11,Fundo de Desenvolvimento,"406.973,00",87.0,"0,43 %","2,75 %","143.175.032,03",6.847
PATL11,Imóveis Industriais e Logísticos,"535.565,14",44.0,"1,21 %","-10,04 %","491.918.033,25",25.578
PCAS11,Indefinido,,,"0,00 %","0,00 %","336.378.382,84",100
PEMA11,Papéis,25705,45.0,"2,89 %","1,10 %","36.904.926,26",318
PFIN11,Indefinido,"1.277.101,33",,"1,97 %","-10,54 %",,0
PICE11,Indefinido,"252.131,29",,"0,66 %","-12,21 %",,0
PLCA11,Indefinido,"89.508,52",69.0,"1,33 %","-3,97 %","52.615.866,48",2.688
PLCR11,Papéis,"247.435,19",78.0,"1,04 %","-5,12 %","190.729.122,23",15.746
PLOG11,Imóveis Industriais e Logísticos,"70.165,04",63.0,"0,99 %","2,01 %","79.648.071,76",3.284
PLRI11,Papéis,"2.341,48",52.0,"0,15 %","71,48 %","18.457.322,24",676
PMFO11,Misto,"5.288,57",102.0,"0,94 %","-0,93 %","69.310.490,18",174
PMIS11,Misto,"286.338,38",74.0,"1,18 %","-7,25 %","137.178.529,89",8.047
PNCR11,Imóveis Residenciais,6474,101.0,"1,24 %","0,00 %","29.646.109,93",110
PNDL11,Fundo de Desenvolvimento,"11.423,24",111.0,"0,00 %","0,00 %","155.192.821,07",61
PNPR11,Fundo de Desenvolvimento,"13.424,62",78.0,"25,23 %","0,00 %","65.318.285,21",26
PNRC11,Indefinido,10500,104.0,"0,87 %","-0,77 %","40.279.492,17",105
PORD11,Papéis,"622.458,52",77.0,"1,10 %","1,00 %","352.420.214,65",37.736
PPEI11,Indefinido,"299.955,19",,"4,18 %","9,65 %",,0
PQAG11,Imóveis Industriais e Logísticos,"2.165,52",96.0,"0,79 %","0,71 %","804.441.008,45",479
PQDP11,Shoppings,"562.075,43",59.0,"0,94 %","0,20 %","347.795.591,34",3.598
PRSV11,Lajes Corporativas,"3.941,67",35.0,"3,62 %","2,09 %","34.016.423,07",863
PRTS11,Shoppings,,184.0,"0,00 %","0,00 %","118.155.565,38",8.102
PULV11,Papéis,"15.646,33",91.0,"0,98 %","-0,51 %","116.978.194,92",723
PVBI11,Lajes Corporativas,"5.508.783,90",69.0,"0,74 %","-6,39 %","2.847.459.867,37",165.266
QAGR11,Indefinido,"534.044,14",71.0,"1,00 %","-0,59 %","304.952.482,94",18.596
QAMI11,Papéis,"12.765,52",133.0,"1,17 %","6,69 %","118.155.565,38",8.102
QIRI11,Papéis,"6.867,57",122.0,"0,00 %","0,00 %","118.155.565,38",8.102
QNTS11,Indefinido,,,"0,00 %","0,00 %","167.778.965,45",135
RBCO11,Lajes Corporativas,,,"0,00 %","0,00 %",,0
RBDS11,Fundo de Desenvolvimento,21314,16.0,"11,21 %","-51,20 %","2.353.945,12",898
RBED11,Educacional,"1.398.204,71",68.0,"0,82 %","-11,75 %","320.910.949,76",12.277
RBFF11,Fundo de Fundos,"728.443,05",74.0,"0,99 %","-1,98 %","230.251.676,34",24.098
RBGS11,Shoppings,,45.0,"0,62 %","-1,90 %","118.155.565,38",8.102
RBHG11,Papéis,"403.892,71",80.0,"1,09 %","-1,87 %","188.619.418,88",10.574
RBHY11,Papéis,"277.976,10",85.0,"1,21 %","-2,75 %","176.037.060,64",3.465
RBIF11,Indefinido,"413.680,86",,"1,15 %","-11,98 %",,0
RBIR11,Fundo de Desenvolvimento,"142.410,95",79.0,"2,40 %","-0,60 %","150.490.696,26",1.550
RBLG11,Imóveis Industriais e Logísticos,31152,84.0,"1,18 %","3,35 %","45.944.144,10",265
RBOP11,Lajes Corporativas,"34.114,24",38.0,"0,97 %","-0,40 %","76.636.584,05",3.520
RBRD11,Varejo,"39.148,10",53.0,"1,07 %","-6,01 %","118.317.625,40",7.952
RBRF11,Fundo de Fundos,"2.512.176,86",70.0,"1,61 %","-7,05 %","1.169.611.226,35",128.386
RBRI11,Fundo de Desenvolvimento,"2.696,76",93.0,"5,13 %","0,00 %","150.061.900,13",100
RBRL11,Imóveis Industriais e Logísticos,"571.770,95",62.0,"1,13 %","-5,82 %","686.667.736,75",14.314
RBRM11,Fundo de Desenvolvimento,,1788.0,"0,00 %","0,00 %","2.860.101,93",54
RBRP11,Lajes Corporativas,"1.383.194,67",64.0,"1,07 %","-5,09 %","933.998.417,18",77.359
RBRR11,Papéis,"3.507.562,67",87.0,"1,00 %","-3,38 %","1.394.603.397,80",132.467
RBRS11,Fundo de Desenvolvimento,"27.699,52",42.0,"0,14 %","-4,72 %","158.624.726,34",1.107
RBRX11,Indefinido,"579.789,95",75.0,"0,98 %","-0,25 %","282.406.026,36",14.370
RBRY11,Papéis,"3.476.706,38",81.0,"1,18 %","-13,88 %","1.242.207.588,82",62.799
RBTS11,Fundo de Desenvolvimento,"1.404,67",111.0,"16,67 %","0,50 %","27.865.930,87",140
RBVA11,Varejo,"2.023.231,81",76.0,"0,96 %","-4,50 %","1.337.504.190,47",64.498
RBVO11,Papéis,"17.439,95",95.0,"0,04 %","50,11 %","2.882.596,37",6.943
RCFF11,Fundo de Fundos,1105,68.0,"21,11 %","32,50 %","33.551.625,87",79
RCRB11,Lajes Corporativas,"711.047,14",55.0,"0,97 %","-11,61 %","755.786.600,34",33.752
RDCI11,Indefinido,,,"0,00 %","0,00 %","222.243.229,33",114
RDPD11,Papéis,"98.337,21",106.0,"1,32 %","7,36 %","24.085.452,18",3.141
RECD11,Papéis,"1.449,05",100.0,"1,56 %","0,00 %","54.599.682,64",149
RECM11,Papéis,"759.133,16",93.0,"0,85 %","0,00 %","82.962.248,14",629
RECR11,Papéis,"2.598.440,19",75.0,"1,32 %","-7,13 %","2.417.604.833,97",169.338
RECT11,Lajes Corporativas,"317.371,00",29.0,"1,29 %","-5,41 %","785.758.858,22",55.805
RECX11,Fundo de Fundos,"2.656,22",94.0,"18,19 %","0,00 %","15.823.826,78",577
REIT11,Papéis,474,32.0,"2,34 %","0,00 %","7.475.126,43",67
RELG11,Imóveis Industriais e Logísticos,"425.801,10",44.0,"1,42 %","-8,57 %","168.966.548,50",4.405
RENV11,Serviços Financeiros Diversos,"24.951,67",103.0,"0,72 %","-2,10 %","9.890.399,22",473
RFOF11,Fundo de Fundos,"244.882,90",77.0,"1,12 %","-6,79 %","74.350.149,86",4.624
RIFF11,Indefinido,"471.141,14",,"1,34 %","-18,47 %",,0
RINV11,Indefinido,"449.216,00",100.0,"1,07 %","-4,51 %","195.680.579,68",3.568
RMAI11,Lajes Corporativas,"31.320,19",73.0,"0,64 %","-1,44 %","248.727.410,40",1.091
RNDP11,Papéis,"4.863,29",68.0,"1,59 %","0,81 %","6.692.761,92",1.252
RNGO11,Lajes Corporativas,"72.536,76",49.0,"0,86 %","-8,56 %","224.049.824,72",8.629
ROOF11,Fundo de Desenvolvimento,72700,142.0,"1,87 %","-1,84 %","37.691.539,23",79
RPRI11,Papéis,"448.471,62",79.0,"1,10 %","0,07 %","343.329.932,72",4.391
RRCI11,Papéis,"49.137,48",68.0,"1,24 %","-4,26 %","43.659.920,09",2.011
RSPD11,Fundo de Desenvolvimento,23571,88.0,"1,90 %","0,00 %","160.660.370,22",140
RURA11,Misto,"3.103.536,86",,"0,78 %","5,96 %",,0
RVBI11,Fundo de Fundos,"1.892.568,81",80.0,"1,24 %","-11,20 %","790.903.830,21",47.725
RZAG11,Indefinido,"1.584.112,29",76.0,"1,39 %","-4,46 %","653.057.767,40",82.939
RZAK11,Papéis,"1.935.058,33",83.0,"1,37 %","1,64 %","776.375.573,85",50.385
RZAT11,Imóveis Industriais e Logísticos,"972.576,71",82.0,"1,14 %","-10,84 %","426.954.950,94",38.348
RZEO11,Indefinido,3462,105.0,"1,96 %","0,00 %","716.954.546,81",152
RZLC11,Papéis,"1.972.560,81",101.0,"0,87 %","0,87 %","49.598.116,55",1
RZTR11,Misto,"4.814.291,43",85.0,"1,31 %","2,32 %","1.843.152.511,64",130.863
RZZR11,Imóveis Industriais e Logísticos,"7.571,76",88.0,"0,82 %","-5,41 %","800.422.005,14",437
SADI11,Papéis,"214.654,62",88.0,"1,02 %","-3,19 %","147.370.575,70",10.706
SAPI11,Misto,"349.393,00",73.0,"1,10 %","-5,96 %","150.942.113,82",2.690
SARE11,Misto,"621.193,00",47.0,"0,56 %","-9,55 %","717.002.955,07",33.713
SCPF11,Shoppings,97743,17.0,"1,06 %","-8,99 %","49.910.530,05",4.710
SDIL11,Imóveis Industriais e Logísticos,"1.030.917,86",101.0,"0,76 %","2,04 %","612.048.658,06",63.292
SEED11,Indefinido,"4.761,90",112.0,"1,10 %","1,67 %","146.942.307,63",130
SEQR11,Misto,"106.866,95",50.0,"1,18 %","-1,16 %","154.103.734,31",5.200
SHOP11,Shoppings,"283.732,00",158.0,"0,00 %","0,00 %","67.286.308,34",67
SHPH11,Shoppings,"157.786,29",92.0,"0,49 %","-5,80 %","562.234.639,03",2.271
SHSO11,Indefinido,,,"0,00 %","0,00 %","118.155.565,38",8.102
SIGR11,Indefinido,5238,100.0,"0,00 %","0,00 %","68.014.346,05",183
SJAU11,Imóveis Industriais e Logísticos,63357,85.0,"0,00 %","0,00 %","498.353.891,68",213
SMRE11,Incorporações,"349.529,95",91.0,"1,03 %","-2,85 %","98.551.642,01",2
SNAG11,Papéis,"1.305.548,24",95.0,"0,00 %","0,00 %","581.007.295,40",108.684
SNCI11,Papéis,"621.481,76",83.0,"0,00 %","0,00 %","411.830.896,74",40.957
SNEL11,Fundo de Desenvolvimento,"655.952,14",125.0,"1,12 %","3,25 %","132.425.356,73",20.206
SNFF11,Fundo de Fundos,"367.017,81",93.0,"0,00 %","0,00 %","277.346.708,73",30.176
SNFZ11,Misto,"20.545,71",100.0,"0,00 %","0,00 %","61.291.402,16",3.217
SNID11,Indefinido,"156.980,33",,"1,00 %","-1,58 %",,0
SNLG11,Imóveis Industriais e Logísticos,"94.396,33",87.0,"1,23 %","-2,08 %","65.477.185,63",3.730
SNME11,Indefinido,"36.814,19",105.0,"1,05 %","0,11 %","68.839.305,84",3.440
SOLR11,Imóveis Comerciais - Outros,"4.931.882,00",114.0,"0,00 %","0,00 %","59.685.145,80",55
SPDE11,Indefinido,"65.152,63",113.0,"2,54 %","-5,00 %","93.005.009,23",120
SPMO11,Indefinido,"335.334,00",108.0,"0,00 %","0,00 %","242.005.677,81",14
SPTW11,Lajes Corporativas,"107.498,71",55.0,"1,17 %","-0,83 %","103.437.106,43",21.510
SPVJ11,Shoppings,,,"0,00 %","0,00 %","199.249.735,04",26
SPXS11,Indefinido,"370.315,14",85.0,"1,18 %","-5,35 %","191.003.505,75",19.551
SRVD11,Indefinido,23391,556.0,"2,29 %","-9,79 %","52.368.152,77",106
STRX11,Fundo de Desenvolvimento,"1.120,00",108.0,"0,47 %","-0,96 %","237.267.604,76",109
TCPF11,Misto,,36.0,"0,00 %","0,00 %","32.330.336,18",52
TELM11,Indefinido,"208.354,17",99.0,"0,70 %","0,00 %","21.592.731,31",103
TEPP11,Lajes Corporativas,"670.392,95",75.0,"0,94 %","-4,84 %","411.190.815,55",29.721
TGAR11,Fundo de Desenvolvimento,"7.454.778,62",79.0,"1,19 %","-4,57 %","2.618.628.834,13",170.260
TJKB11,Indefinido,"12.556,86",101.0,"1,18 %","-6,20 %","263.604.018,71",177
TMPS11,Fundo de Fundos,"328.451,71",86.0,"1,99 %","-2,93 %","89.845.053,52",1.994
TOPP11,Imóveis Comerciais - Outros,"1.079.008,00",76.0,"1,21 %","-16,16 %","444.509.021,87",5.086
TORD11,Misto,"44.540,05",13.0,"0,90 %","-24,53 %","235.453.506,45",74.959
TRBL11,Imóveis Industriais e Logísticos,"1.210.916,00",60.0,"0,88 %","-1,16 %","770.875.560,98",56.218
TRNT11,Lajes Corporativas,"34.630,10",70.0,"0,06 %","0,00 %","682.291.776,73",576
TRXB11,Fundo de Desenvolvimento,"144.435,62",113.0,"3,82 %","-0,87 %","400.037.886,25",349
TRXF11,Imóveis Comerciais - Outros,"6.262.468,38",93.0,"0,91 %","1,03 %","2.094.805.620,61",184.460
TSER11,Lajes Corporativas,57143,100.0,"0,98 %","2,84 %","136.486.087,34",20
TVRI11,Agências de Bancos,"1.412.018,05",84.0,"1,09 %","-5,06 %","1.614.021.771,69",68.471
URHF11,Outros,"2.484,71",100.0,"1,20 %","-11,50 %","10.752.120,84",158
URPR11,Papéis,"2.125.240,10",52.0,"1,44 %","-10,29 %","1.184.327.903,44",79.123
VANG11,Indefinido,"46.826,48",,"0,99 %","-0,98 %",,0
VCJR11,Papéis,"2.947.418,62",75.0,"1,11 %","-2,16 %","1.392.110.627,49",34.010
VCRA11,Indefinido,"1.090.643,10",58.0,"1,31 %","-1,13 %","477.371.673,61",11.417
VCRI11,Papéis,"166.663,48",72.0,"1,16 %","-5,30 %","168.263.291,93",10.964
VCRR11,Imóveis Residenciais,"203.846,43",45.0,"0,96 %","-6,57 %","260.980.601,07",4.204
VGHF11,Misto,"3.827.146,19",80.0,"1,16 %","0,52 %","1.459.392.047,53",406.957
VGIA11,Indefinido,"1.729.246,43",81.0,"1,42 %","-6,88 %","804.393.262,42",172.151
VGII11,Tecidos. Vestuário e Calçados,,93.0,"3,03 %","0,00 %","50.235.369,53",5
VGIP11,Papéis,"2.245.867,00",80.0,"1,13 %","-8,67 %","1.065.985.547,77",88.359
VGIR11,Papéis,"5.925.146,67",91.0,"1,26 %","-7,92 %","1.422.405.908,98",261.193
VGRI11,Misto,"507.765,14",74.0,"1,83 %","-6,18 %","342.639.869,09",4.607
VIDS11,Fundo de Desenvolvimento,,100.0,"0,00 %","0,00 %","83.427.016,37",199
VIFI11,Fundo de Fundos,"218.328,33",76.0,"0,99 %","-3,29 %","66.405.125,72",5.778
VIGT11,Indefinido,"1.396.106,57",,"2,78 %","-12,41 %",,0
VILG11,Imóveis Industriais e Logísticos,"2.171.482,38",64.0,"0,80 %","-4,27 %","1.701.890.060,03",156.058
VINO11,Lajes Corporativas,"763.038,67",42.0,"1,01 %","-1,98 %","888.711.448,21",153.106
VISC11,Shoppings,"6.521.371,76",73.0,"0,83 %","-7,53 %","3.637.559.318,14",349.377
VIUR11,Misto,"210.608,76",61.0,"1,14 %","3,70 %","239.805.255,17",48.461
VJFD11,Papéis,"3.720,48",100.0,"0,48 %","0,00 %","753.752.856,68",96
VLIQ11,Indefinido,,,"0,00 %","0,00 %","118.155.565,38",8.102
VLOL11,Lajes Corporativas,"160.238,13",154.0,"0,00 %","0,00 %","118.155.565,38",8.102
VOTS11,Papéis,"2.832,14",73.0,"0,96 %","1,33 %","77.350.822,98",663
VRTA11,Papéis,"1.945.328,38",81.0,"0,99 %","-2,30 %","1.382.915.361,99",119.224
VRTM11,Misto,"394.345,19",71.0,"1,25 %","-6,01 %","439.683.074,94",12.245
VSEC11,Papéis,250,0.0,"0,00 %","0,00 %","118.155.565,38",8.102
VSHO11,Shoppings,"73.592,48",62.0,"1,02 %","-1,91 %","217.450.790,43",3.556
VSLH11,Papéis,"171.982,33",27.0,"1,21 %","-2,94 %","331.165.442,19",77.618
VTLT11,Imóveis Industriais e Logísticos,"130.424,67",72.0,"1,03 %","-2,34 %","238.772.468,54",6.089
VTPL11,Papéis,"1.273,17",100.0,"0,00 %","0,00 %","99.661.107,98",124
VVCO11,Lajes Corporativas,"207.451,43",96.0,"0,00 %","0,00 %","141.098.708,50",3.054
VVCR11,Papéis,"160.252,09",90.0,"0,97 %","-0,43 %","78.589.242,29",2.438
VVMR11,Lajes Corporativas,"308.162,24",80.0,"0,55 %","1,00 %","316.852.348,31",720
VVPR11,Misto,"1.249.061,55",159.0,"0,89 %","0,40 %","118.155.565,38",8.102
VVRI11,Indefinido,"182.635,82",99.0,"0,74 %","-1,05 %","79.846.007,28",167
VXXV11,Fundo de Desenvolvimento,"1.043.476,23",108.0,"0,00 %","0,00 %","182.336.837,77",19
WPLZ11,Shoppings,"3.022,62",59.0,"0,54 %","-6,30 %","96.676.265,86",1.726
WSEC11,Indefinido,"12.794,43",76.0,"1,20 %","-4,25 %","22.254.203,31",531
WTSP11B,Misto,"3.852,00",45.0,"0,00 %","0,00 %","98.293.009,04",210
XPCA11,Indefinido,"1.184.070,95",63.0,"0,64 %","-3,71 %","427.605.802,21",106.459
XPCI11,Papéis,"2.012.977,48",79.0,"1,04 %","-1,79 %","775.877.731,30",74.981
XPCM11,Lajes Corporativas,"18.106,19",26.0,"0,20 %","-1,54 %","66.206.640,79",19.770
XPHT11,Hotéis,"230.869,59",66.0,"0,92 %","15,86 %","582.374.006,20",1.194
XPID11,Indefinido,"331.715,90",,"1,18 %","-4,98 %",,0
XPIE11,Indefinido,"2.614.499,57",,"1,62 %","-11,58 %",,0
XPIN11,Imóveis Industriais e Logísticos,"352.032,67",63.0,"1,06 %","-3,50 %","753.061.293,75",46.837
XPLG11,Imóveis Industriais e Logísticos,"4.575.204,57",80.0,"0,83 %","-2,80 %","3.498.312.039,33",348.915
XPML11,Shoppings,"15.964.243,76",84.0,"0,89 %","-1,50 %","6.480.240.151,23",555.889
XPPR11,Lajes Corporativas,"125.029,10",22.0,"0,49 %","-4,26 %","452.861.360,01",44.739
XPSF11,Fundo de Fundos,"536.367,48",77.0,"1,08 %","-4,69 %","330.823.221,40",63.255
XTED11,Lajes Corporativas,"17.641,88",68.0,,,"67.378.204,04",4.098
YUFI11,Fundo de Desenvolvimento,1676,67.0,"0,18 %","-0,11 %","51.827.010,75",58
YUFI11B,Indefinido,,,"0,00 %","0,00 %",,0
ZAGH11,Serviços Financeiros Diversos,"1.353,76",140.0,"0,54 %","0,70 %","42.783.877,65",274
ZAVC11,Indefinido,277,103.0,"1,24 %","16,56 %","31.110.512,89",138
ZAVI11,Indefinido,"204.552,71",64.0,"1,11 %","-1,39 %","154.014.555,33",3.923
ZIFI11,Fundo de Desenvolvimento,"8.794,81",38.0,"0,00 %","0,00 %","84.141.677,27",99
